N1,N2,N1_layer,N2_layer,per,w1,l1,l2,l2_gap,h1,h1_gap,h2_gap,N1_height_ratio,N1_fill_factor,N1_coil_diameter,N1_coil_zgap,N2_height_ratio,N2_fill_factor,N2_coil_diameter,N2_coil_zgap,N1_space_w,N1_space_l,N2_space_w,N2_space_l,N1_layer_gap,N2_layer_gap,N1_offset_ratio,N2_offset_ratio,N1_offset,N2_offset,cold_plate_x,cold_plate_y,cold_plate_z1,cold_plate_z2,mold_thick,thermal_conductivity,Temp_max_leg_right
5,5,2,2,23901,188.5,23.2,149.19729999999998,37.7,86.5,6.539400000000002,23.12145,0.76,0.8,13.148,4.382666666666665,0.46,0.94,9.35065,0.7957999999999998,20.0,5.0,9.1,25.7,7.7,9.0,-0.37,0.01,-3.8406000000000007,0.23355,21.0,18.0,15.7,0.34,19.1,0.33,102.741265869141
5,5,2,1,17345,136.3,35.5,166.97849333333335,46.2,84.4,2.8063,8.203680000000002,0.81,0.92,15.723720000000002,1.8230399999999989,0.73,0.86,8.831053333333333,1.7251360000000004,19.1,28.0,16.2,3.8,9.6,6.2,-0.65,-0.28,-5.2117,-3.1903200000000007,6.5,24.5,11.8,0.29,39.1,1.92,103.57021484375
5,5,1,1,7493,249.6,18.4,122.56519166666666,41.9,131.5,14.4913,13.669424999999997,0.62,0.86,11.685966666666666,2.282840000000001,0.73,0.93,14.879225,1.3439300000000003,7.9,20.5,21.6,17.2,8.8,1.3,-0.42,0.23,-10.4937,4.083075,4.2,26.4,23.0,0.2,16.4,0.99,115.031030273438
6,6,1,2,25645,174.0,18.6,144.63517857142858,41.1,96.5,2.5089999999999977,20.458,0.9,0.69,8.560928571428573,4.48725,0.47,0.7,7.937124999999999,4.5355,14.5,14.6,9.3,29.3,8.5,2.4,-0.48,-0.2,-2.315999999999998,-5.1145000000000005,8.9,7.7,39.2,0.34,32.8,1.79,111.616052246094
5,5,1,1,27567,259.5,16.3,124.58269,45.4,106.2,13.317479999999996,2.389499999999998,0.67,0.94,11.14746,0.8538480000000022,0.91,0.89,14.335230000000005,2.1261239999999986,28.1,23.3,3.8,15.4,6.1,8.0,-0.24,-0.5,-4.205519999999999,-2.389499999999998,19.0,10.1,33.1,0.41,15.0,1.5,109.365747070313
5,5,1,1,7024,257.4,15.3,110.82943666666668,22.7,94.7,2.310679999999998,7.533385000000001,0.92,0.7,10.164466666666668,5.227440000000001,0.63,0.62,6.16497,4.534236,11.6,5.9,27.5,27.4,8.0,2.3,-0.39,0.57,-1.4773199999999989,9.986115,29.4,3.9,35.6,0.29,38.5,1.07,105.423272705078
5,5,2,1,6775,157.8,22.9,116.35221333333334,38.7,59.2,2.7350400000000006,7.512480000000001,0.78,0.87,10.04328,2.000959999999999,0.73,0.62,4.465653333333333,3.284416,20.1,6.7,5.8,7.5,3.2,1.7,0.58,0.06,3.77696,0.47952,16.1,19.6,17.2,0.35,35.7,1.18,104.386468505859
5,5,2,1,23462,202.4,19.7,113.680565,7.3,96.3,8.580330000000002,8.02179,0.82,0.94,18.55701,1.5793200000000005,0.51,0.79,6.466545,2.062746,12.7,5.2,27.7,29.8,9.0,1.2,-0.01,0.66,-0.08667,15.57171,15.8,14.3,39.0,0.48,18.8,0.7,112.12099609375
5,5,1,2,7581,109.8,37.0,123.51091666666666,45.3,72.5,1.794375,1.4209999999999998,0.95,0.7,8.035416666666666,4.1325,0.86,0.66,10.28775,7.066333333333333,10.9,6.9,22.6,13.1,7.6,7.1,-0.01,-0.72,-0.018125,-3.654,25.7,4.6,47.4,0.37,22.5,1.96,115.605432128906
5,5,2,1,22273,221.9,19.1,132.707865,14.8,93.3,3.0789,3.498750000000001,0.78,0.82,14.91867,4.366440000000002,0.85,0.83,10.970524999999997,2.6963700000000017,26.9,17.7,20.3,26.4,5.1,9.4,0.7,-0.5,7.184099999999998,-3.498750000000001,8.1,0.4,36.0,0.34,27.9,0.26,107.524682617188
5,5,2,2,27171,224.8,16.0,114.36385,16.3,67.4,9.230429999999998,0.791950000000001,0.67,0.85,9.596075,2.2579000000000016,0.95,0.78,12.48585,4.695533333333333,7.8,5.2,18.5,11.0,5.7,1.7,-0.17,0.53,-1.89057,0.8930500000000012,6.2,1.9,43.1,0.12,30.3,1.69,101.004754638672
